,class,42,40,6,24,14,4,10,22
0,1,74,77,63,79,73,78,62,76
1,1,58,66,58,72,71,71,68,73
2,1,64,54,74,69,73,67,68,73
3,1,63,72,61,65,65,65,69,71
4,1,64,73,63,75,65,61,65,73
5,1,72,71,72,67,67,67,71,69
6,1,58,45,68,66,71,76,66,75
7,1,60,74,57,49,50,58,53,77
8,1,72,16,66,71,71,69,67,76
9,1,56,73,67,69,68,74,65,71
10,1,64,59,63,48,49,71,51,65
11,1,43,43,61,50,70,75,62,72
12,1,68,60,67,77,74,80,68,78
13,1,21,56,54,32,28,46,68,78
14,1,29,71,31,47,50,65,54,78
15,1,52,12,57,71,69,50,24,72
16,1,70,66,62,70,75,61,68,75
17,1,67,68,71,55,65,68,52,59
18,1,61,48,67,50,50,48,61,67
19,1,74,52,79,62,64,58,50,65
20,1,61,63,69,60,74,74,63,81
21,1,9,47,52,58,75,61,59,66
22,1,37,43,59,63,66,79,54,71
23,1,66,74,61,72,67,74,58,59
24,1,68,67,61,72,77,67,71,69
25,1,31,50,57,66,70,75,62,72
26,1,64,69,64,63,65,75,69,69
27,1,68,67,65,67,69,78,54,64
28,1,63,73,66,80,70,65,62,78
29,1,72,70,70,66,71,72,67,77
30,1,71,66,75,80,77,73,60,76
31,1,76,75,71,69,72,72,67,80
32,1,27,35,25,58,70,74,64,75
33,1,57,70,54,61,59,70,70,55
34,1,67,75,63,65,59,82,64,79
35,1,68,71,76,71,70,68,67,71
36,1,62,64,69,67,71,72,71,78
37,1,47,55,48,42,43,68,48,52
38,1,64,13,52,67,71,54,29,78
39,1,19,39,41,58,65,73,77,64
40,1,69,6,57,56,50,43,58,61
41,1,62,73,66,64,65,71,72,79
42,1,58,63,57,70,71,61,69,73
43,1,10,57,34,47,46,78,26,56
44,1,42,51,52,67,64,72,63,73
45,1,58,70,67,63,73,82,64,69
46,1,82,74,60,57,75,71,39,78
47,1,42,61,55,62,67,74,67,66
48,1,67,63,69,69,77,76,68,81
49,1,64,70,64,74,76,73,75,69
50,1,73,76,70,77,66,70,57,47
51,1,43,35,48,60,63,68,47,79
52,1,56,67,63,67,77,74,71,84
53,1,56,62,62,69,77,75,76,74
54,1,71,69,62,74,64,70,64,77
55,1,69,81,69,72,71,71,72,78
56,1,20,57,52,70,59,69,46,63
57,1,38,73,61,77,77,73,72,63
58,1,59,73,68,72,66,61,63,76
59,1,61,64,60,58,67,68,70,73
60,1,71,66,65,49,65,65,68,72
61,1,68,74,71,43,47,66,67,42
62,1,69,77,68,72,69,67,71,70
63,1,54,58,68,72,65,77,65,75
64,1,63,75,67,72,74,74,63,67
65,1,28,47,45,77,77,65,41,75
66,1,57,64,67,67,67,65,70,79
67,1,68,47,59,67,72,72,55,80
68,1,69,62,66,71,74,69,53,70
69,1,20,62,54,40,50,55,58,71
70,1,47,59,65,76,61,54,61,81
71,1,59,69,60,56,66,58,75,81
72,1,60,70,70,74,58,68,70,65
73,1,40,28,44,60,63,60,22,60
74,1,64,77,59,82,74,71,63,81
75,1,60,65,64,65,64,80,68,77
76,1,38,59,53,53,68,74,68,71
77,1,54,63,60,58,56,73,69,79
78,1,63,64,72,80,76,61,69,79
79,1,35,62,58,66,59,76,57,70
80,1,31,61,63,46,68,74,65,85
81,1,65,67,56,69,65,63,63,74
82,1,27,52,44,62,68,53,66,63
83,1,60,64,63,71,74,69,70,73
84,1,69,40,41,66,67,51,39,82
85,1,18,12,26,35,31,44,57,40
86,1,47,57,58,66,65,63,74,74
87,1,25,58,41,61,61,71,58,63
88,1,73,67,63,68,66,54,54,76
89,1,61,61,60,64,52,48,52,62
90,1,62,65,71,79,69,83,61,86
91,1,10,44,28,75,70,70,54,67
92,1,56,68,61,80,68,73,58,82
93,1,36,63,65,53,59,70,66,69
94,1,67,76,69,69,66,65,59,83
95,1,58,58,72,64,66,84,70,76
96,1,67,68,67,76,72,66,65,74
97,1,63,49,71,76,62,84,58,76
98,1,43,51,61,70,66,74,69,68
99,1,43,62,59,62,59,79,66,74
100,1,68,78,61,73,63,75,63,78
101,1,65,71,69,71,73,75,66,75
102,1,67,77,59,73,61,51,59,67
103,1,39,60,64,61,69,77,68,77
104,1,46,47,78,63,66,67,62,67
105,1,64,66,64,70,69,74,71,78
106,1,75,75,71,75,78,68,62,66
107,1,73,77,76,60,65,70,57,74
108,1,75,80,64,76,72,74,65,75
109,1,72,75,69,79,71,78,59,72
110,1,63,71,72,72,65,77,75,77
111,1,56,59,58,66,64,75,61,72
112,1,64,71,61,67,70,67,61,70
113,1,54,64,64,66,64,72,70,75
114,1,74,68,72,79,75,72,55,71
115,1,70,75,67,68,70,70,70,75
116,1,66,67,72,79,69,62,59,77
117,1,58,68,76,70,70,72,66,78
118,1,63,68,62,65,64,65,74,74
119,1,69,76,68,79,75,74,42,78
120,1,74,69,69,74,76,65,63,75
121,1,75,77,63,67,69,57,55,56
122,1,62,70,63,63,67,68,68,71
123,1,78,70,70,68,66,71,63,80
124,1,66,73,57,72,66,78,63,81
125,1,76,58,72,73,72,72,65,67
126,1,66,57,64,64,62,59,62,75
127,1,62,75,71,73,75,74,73,74
128,1,74,76,72,75,76,72,71,74
129,1,67,62,72,63,58,67,59,69
130,1,47,52,44,59,59,74,62,75
